,Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,IRGC_Number,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Unnamed: 8,Genetic_Stock_Accno,Genetic_stock_Designation(varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,acc_date,acc_id_seed_donor_number,acc_id_seq_num,alkali_tolerance,altitude,apiculus_color,apiculus_color_post_harv,auricle_color,awn_color,awn_presence,bacterial_blight,basal_color,blade_color,blade_pub,blast,cold_tolerance,collar_color,collection_number,culm_angle,culm_diam,culm_length,culm_num,culm_strength,cultural_type,days_to_flower,days_to_head,days_to_mat,days_to_maturity,district,donor_country,drought_1,drought_2,drought_3,drought_4,drought_5,drought_6,drought_7,drought_8,drought_9,elogation,endosperm_color,endosperm_type,fao_in_trust,flag_leaf_angle,flat_leaf_angle,flood_tolerance,grain_len,grain_wid,internode_color,latitude,leaf_angle,leaf_length,leaf_senescence,leaf_texture,leaf_width,lemma_and_palea_color,lemma_and_palea_pub,lemma_color,lemma_color_at_anthesis,ligule_color,ligule_shape,lingule_pub,longitude,multilateral_system,node_color,panicle,panicle_axis,panicle_exerion,panicle_shattering,panicle_thesability,pedigree,previous_name,province,rice_blast,salt_tolerance,seat_coat_color,secondary_branching,seed_coat_color,seedling_height,sheath_blight,source_country,special_traits,species_name,spikelet_fertility,status,stigma_color,subpopulation,town,tungro_virus,varietal_group,variety_group_from_morph,variety_name,village,zinc_def_1
1256,1298,IRRI,IRIS 313-11907,TINAROH::IRGC 73874-1,IRGC 73874,73874.0,TINAROH,,INDONESIA,Indonesia,IRGC 128486,TINAROH::IRGC 73874-1,,,,Tropical japonica,4/2/1986,INDO NO. 15360,1.0,X,,020,X,Light green,080,080,Susceptible,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),3,2,99,7,,X,,129,129,,INDONESIA,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,9,8,4,3,4,Intermediate(3),131-150 cm,7,,1,042,3,3,Moderately strong(most plants leaning),Whitish,2-Cleft,Purple lines,96,Yes,,1,000,0,1,5,,,Aceh,Susceptible,X,070,2,,Intermediate (30-59 cm),,INDONESIA,,O. sativa,5,,4,A,,100,Javanica,,TINAROH,,X
1257,1804,IRRI,IRIS 313-10747,TJOKRON::IRGC 16653-1,IRGC 16653,16653.0,TJOKRON,,INDONESIA,Indonesia,,TJOKRON::IRGC 16653-2,,,,Tropical japonica,6/10/1972,INDO NO. 4769,1.0,X,,080,080,Yellowish green,080,080,Susceptible,Green,Green,Pubescent,Moderately resistant,X,Light green,,Intermediate (3),X,X,106,7,,054,,136,136,,INDONESIA,1,X,5,X,4,X,X,X,X,X,Red,,Yes,1,3,X,9,3,7,-2,Horizontal(5),,7,,X,054,4,X,Weak(most plants nearly flat),,Tip round or truncate,Green,119,Yes,Green,9,000,X,1,3,,,,Susceptible,X,070,4,Moderately resistant,,Moderately susceptible,INDONESIA,,O. sativa,4,Landrace/Traditional cultivar,X,A,,100,,,TJOKRON,,X
1258,1425,IRRI,IRIS 313-12045,BUYAN::IRGC 81440-1,IRGC 81440,81440.0,BUYAN,,INDONESIA,Indonesia,,,,,,Tropical japonica,6/25/1992,,,X,115.0,020,020,Light green,010,020,,Green,Dark green,Pubescent,,X,Light green,CI92-32,Intermediate (3),1,2,124,5,Upland,X,,154,154,Kab. Kapuas Hulu,INDONESIA,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,5,X,8,2,1,0,Erect(1),131-150 cm,5,,2,020,4,2,Strong(no lodging),Whitish,2-Cleft,Light gold,112,Yes,Green,3,020,1,1,5,,,West Kalimantan,,X,070,2,,Intermediate (30-59 cm),,INDONESIA,,O. sativa,3,Landrace/Traditional cultivar,4,A,Kec. Semitau,0,Indica,,BUYAN,Kernera'K,X
1259,391,IRRI,IRIS 313-10016,BOHOTO BALOOCHESTAN::IRGC 66237-1-1,IRGC 66237,66237.0,BOHOTO BALOOCHESTAN,,IRAN,Iran,IRGC 125954,BOHOTO BALOOCHESTAN::IRGC 66237-1,55292204.0,55292204.0,11.5,Basmati/sadri,7/13/1984,IRAN ACC  1738,1.0,X,,020,X,Light green,010,010,,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),1,1,102,1,,X,,132,132,,IRAN,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,10,2,1,32,Erect(2),71-90 cm,7,,2,020,4,2,Strong(no lodging),Whitish,2-Cleft,Green,52,Yes,,7,000,0,1,7,,,,,X,010,2,,Short (,,IRAN,,O. sativa,3,Landrace/Traditional cultivar,3,A,,0,Indica,,BOHOTO BALOOCHESTAN,,X
1260,18,IRRI,IRIS 313-8747,DOM ZARD::IRGC 12881-1-1,IRGC 12881,12881.0,DOM-ZARD,,IRAN,Iran,IRGC 117466,DOM ZARD,,,,Basmati/sadri,12/4/1979,,,X,,020,X,Light green,010,052,Susceptible,Green,Green,Pubescent,Resistant,X,Light green,,Intermediate (3),1,1,96,5,,X,,126,126,,IRAN,3,5,7,6,X,9,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,7,X,10,2,5,32,Horizontal(5),111-130 cm,1,,2,053,3,2,Intermediate(most plants moderately lodged),Whitish,2-Cleft,Light gold,52,Yes,,1,040,9,1,3,,,,Susceptible,X,010,2,Resistant,Intermediate (30-59 cm),Moderately susceptible,IRAN,Aromatic,O. sativa,3,,3,A,,0,Indica,,DOM-ZARD,,X
1261,141,IRRI,IRIS 313-8256,GERDEH::IRGC 32301-1-1,IRGC 32301,32301.0,GERDEH,,IRAN,Iran,IRGC 117474,GERDEH,50002676.0,50002676.0,10.4,Tropical japonica,10/17/1975,309-50,1.0,X,100.0,020,X,Light green,010,020,Susceptible,Green,Green,Pubescent,,X,Light green,,Erect (1),1,1,72,5,Rainfed-lowland,X,,102,102,Massal,GERMANY,3,X,1,X,5,5,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,3,1,37,Horizontal(5),71-90 cm,7,,2,020,4,1,Strong(no lodging),Whitish,2-Cleft,Green,49,Yes,,3,020,7,1,1,,,Gilan,Susceptible,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,IRAN,,O. sativa,3,Landrace/Traditional cultivar,2,A,10 km Massal,91,Indica,,GERDEH,Shikh Neshin,X
1262,594,IRRI,IRIS 313-9937,ROCCA::IRGC 50351-1-1,IRGC 50351,50351.0,ROCCA,,ITALY,Italy,IRGC 125888,ROCCA::IRGC 50351-1,78519690.0,78519690.0,16.3,Aus/boro,12/27/1978,IRTP 7711,1.0,X,,020,X,Light green,010,020,,Green,Dark green,Pubescent,,X,Light green,,Erect (1),3,1,76,5,,X,,106,106,,TURKEY,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,2,X,9,3,1,41,Erect(2),71-90 cm,1,,2,020,3,1,Strong(no lodging),Whitish,2-Cleft,Green,12,Yes,,3,000,0,1,1,,,,,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,ITALY,,O. sativa,3,,3,A,,0,Javanica,,ROCCA,,X
1273,610,IRRI,IRIS 313-10111,MOLO::IRGC 81603-1-1,IRGC 81603,81603.0,MOLO,,ITALY,Italy,IRGC 125843,MOLO::IRGC 81603-1,46960036.0,46960036.0,9.7,Temperate japonica,6/29/1992,,,X,,020,020,Yellowish green,010,060,,Green,Dark green,Pubescent,,X,Light green,,Erect (1),X,X,50,7,,060,,80,80,,ITALY,X,X,X,X,X,X,X,X,X,X,White,,Yes,1,3,X,9,2,9,41,Erect(1),,7,,X,020,4,X,Very weak(all plants flat),Whitish,Tip round or truncate,Green,12,Yes,Green,5,000,X,1,2,,,,,X,010,4,,,,ITALY,,O. sativa,4,Released/Improved/advanced cultivar,X,A,,0,,,MOLO,,X
1278,600,IRRI,IRIS 313-10014,SANT ANDREA::IRGC 65732-1-1,IRGC 65732,65732.0,SANT ANDREA,,ITALY,Italy,IRGC 125898,SANT ANDREA::IRGC 65732-1,49813750.0,49813750.0,10.3,Temperate japonica,3/16/1984,,,X,,020,X,Light green,010,020,,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),3,1,80,5,,X,,110,110,,AUSTRALIA,X,X,X,X,X,X,7,8,7,X,White,Non-glutinous(non-waxy),Yes,1,3,X,9,3,3,41,Intermediate(4),71-90 cm,5,,2,020,5,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,12,Yes,,1,000,0,1,2,,,,,X,010,2,,Intermediate (30-59 cm),,ITALY,,O. sativa,3,Breeding and inbred line,3,A,,0,Javanica,,SANT ANDREA,,X
1283,611,IRRI,IRIS 313-10119,GITANO::IRGC 82424-1-1,IRGC 82424,82424.0,GITANO,,ITALY,Italy,IRGC 125752,GITANO::IRGC 82424-1,59056822.0,59056822.0,12.3,Temperate japonica,6/29/1992,,,X,,020,020,Light green,010,020,,Green,Green,Pubescent,,X,Light green,,Intermediate (3),4,2,68,5,,X,,98,98,,ITALY,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,3,3,41,Drooping(7),71-90 cm,3,,2,020,5,2,Moderately strong(most plants leaning),Whitish,,Green,12,Yes,Green,1,000,0,1,1,,,,,X,010,2,,Intermediate (30-59 cm),,ITALY,,O. sativa,3,Released/Improved/advanced cultivar,3,A,,0,Intermediate(hybrid),,GITANO,,X
1295,136,IRRI,IRIS 313-9770,RAZZA 77::IRGC 3130-1-1,IRGC 3130,3130.0,RAZZA 77,,ITALY,Italy,,,,,,Temperate japonica,,PI 215482,1.0,X,,X,X,Light green,010,010,Susceptible,Green,Dark green,Pubescent,Susceptible,X,Green,,Erect (1),2,2,75,5,,X,,105,105,,UNITED STATES,3,5,X,6,X,9,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,1,X,9,3,1,41,,71-90 cm,1,,2,020,X,2,Strong(no lodging),Whitish,,Green,12,Yes,,1,000,0,X,1,,,,Susceptible,X,010,X,Susceptible,Short (,,ITALY,,O. sativa,3,Released/Improved/advanced cultivar,3,A,,0,Japonica,,RAZZA 77,,X
1299,973,IRRI,IRIS 313-11524,KOUINONEPOU::IRGC 56663-1,IRGC 56663,56663.0,KOUINONEPOU,,IVORY COAST,Ivory Coast,,KOUINONEPOU::IRGC 56663-1,47073316.0,47073316.0,9.8,Indica,2/28/1980,TOS10465,1.0,X,,020,X,Light green,010,020,,Green,Green,Pubescent,,5,Green,IS222,Intermediate (3),1,2,100,5,Upland,X,,130,130,Ouest,FRANCE,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,9,8,3,3,7,Horizontal(5),91-110 cm,1,,2,020,3,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,-7,Yes,,3,000,0,1,1,,,,,X,010,2,,Short (,,IVORY COAST,,O. sativa,3,Landrace/Traditional cultivar,3,A,"Biankouma, Blegouin",0,Indica,,KOUINONEPOU,Gan Ii,X
1300,386,IRRI,IRIS 313-9989,MELEKE::IRGC 56823-1-1,IRGC 56823,56823.0,MELEKE,,IVORY COAST,Ivory Coast,IRGC 125838,MELEKE::IRGC 56823-1,53485686.0,53485686.0,11.1,Indica,11/27/1979,TOS9571,1.0,X,,020,X,Light green,010,020,,Green,Light green,Pubescent,,9,Green,IS200,Open (5),1,2,137,5,Irrigated,X,,167,167,Nord Ouest,FRANCE,3,1,X,7,2,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,3,9,9,3,5,9,Drooping(7),131-150 cm,1,,3,054,2,2,Intermediate(most plants moderately lodged),Whitish,2-Cleft,Green,-7,Yes,,5,020,1,1,9,,,,,X,010,2,,Short (,,IVORY COAST,,O. sativa,3,Landrace/Traditional cultivar,4,A,"Odienne, Tienni",0,Indica,,MELEKE,Kere,X
1301,976,IRRI,IRIS 313-11527,GOLO::IRGC 56856-1,IRGC 56856,56856.0,GOLO,,IVORY COAST,Ivory Coast,IRGC 128302,GOLO::IRGC 56856-1,56508680.0,56508680.0,11.7,Indica,11/27/1979,TOS9660,1.0,X,,020,X,Light green,010,020,,Green,Green,Glabrous,,7,Light green,IS243,Intermediate (3),3,2,96,5,Upland,X,,126,126,Ouest,FRANCE,7,1,X,2,1,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,9,9,4,1,7,Intermediate(3),91-110 cm,1,,2,020,1,2,Strong(no lodging),Whitish,2-Cleft,Light gold,-7,Yes,,1,000,0,1,7,,,,,X,010,2,,Intermediate (30-59 cm),,IVORY COAST,,O. sativa,3,Landrace/Traditional cultivar,3,A,"Man, Danane",0,Javanica,,GOLO,Biakale,X
1302,900,IRRI,IRIS 313-11435,MONMINEUPLEU::IRGC 50873-1,IRGC 50873,50873.0,MONMINEUPLEU,,IVORY COAST,Ivory Coast,IRGC 128392,MONMINEUPLEU::IRGC 50873-1,79221968.0,79221968.0,16.4,Indica,9/29/1978,TOS7795,1.0,X,,020,X,Light green,010,070,,Green,Green,Pubescent,,7,Green,IS228,Erect (1),3,2,88,3,Upland,X,,118,118,Ouest,FRANCE,3,3,X,4,5,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,3,1,7,Erect(2),91-110 cm,1,,2,042,3,2,Strong(no lodging),Whitish,2-Cleft,Green,-7,Yes,,5,000,0,1,9,,,,,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,IVORY COAST,,O. sativa,3,Landrace/Traditional cultivar,3,A,"Man, Danane",0,Javanica,,MONMINEUPLEU,Bogouin,X
1303,977,IRRI,IRIS 313-11528,ZO::IRGC 56914-1,IRGC 56914,56914.0,ZO,,IVORY COAST,Ivory Coast,IRGC 127917,ZO::IRGC 56914-1,92881944.0,92881944.0,19.3,Indica,11/27/1979,TOS9476,1.0,X,,020,X,Light green,010,020,,Green,Green,Pubescent,,9,Light green,IS314,Intermediate (3),1,2,138,3,Upland,X,,168,168,Ouest,FRANCE,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,3,9,9,3,1,6,Intermediate(3),>150 cm,1,,3,042,2,2,Strong(no lodging),Whitish,2-Cleft,Green,-8,Yes,,5,000,0,1,7,,,,,X,010,2,,Intermediate (30-59 cm),,IVORY COAST,,O. sativa,3,Landrace/Traditional cultivar,4,A,"Danane, Toulepleu",0,Indica,,ZO,Tapleu,X
1304,901,IRRI,IRIS 313-11436,SAKAZELE (538)::IRGC 50880-1,IRGC 50880,50880.0,SAKAZELE(538),,IVORY COAST,Ivory Coast,IRGC 127779,SAKAZELE (538)::IRGC 50880-1,104306454.0,104306454.0,21.6,Indica,9/29/1978,TOS7870,1.0,X,,020,X,Light green,010,020,,Green,Green,Pubescent,,7,Green,IS474,Erect (1),1,2,92,5,Upland,X,,122,122,Centre Ouest,FRANCE,7,3,X,4,4,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,3,3,6,Erect(2),91-110 cm,1,,2,042,4,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Green,-6,Yes,,1,000,0,1,5,,,,,X,010,2,,Intermediate (30-59 cm),Moderately susceptible,IVORY COAST,,O. sativa,1,Landrace/Traditional cultivar,3,A,,0,Indica,,SAKAZELE(538),Godiabre,X
1306,1171,IRRI,IRIS 313-11759,K 2 C 45::IRGC 68552-1,IRGC 68552,68552.0,K 2 C 45,,IVORY COAST,Ivory Coast,,K 2 C 45::IRGC 68552-1,,,,Indica,11/13/1984,IRAT 6759,1.0,X,,020,X,Light green,010,020,Susceptible,Green,Green,Pubescent,,X,Light green,,Intermediate (3),1,2,102,5,,X,,132,132,,FRANCE,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,8,3,3,7,Erect(2),91-110 cm,3,,2,020,4,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,-5,Yes,,3,000,0,1,1,,,,Susceptible,X,010,2,,Intermediate (30-59 cm),,IVORY COAST,,O. sativa,1,,3,A,,0,Indica,,K 2 C 45,,X
1307,1173,IRRI,IRIS 313-11761,NS 199::IRGC 68864-1,IRGC 68864,68864.0,NS199,,IVORY COAST,Ivory Coast,IRGC 127683,NS 199::IRGC 68864-1,,,,Indica,11/13/1984,IRAT 5532,1.0,X,,020,X,Light green,010,020,Susceptible,Green,Green,Pubescent,,X,Light green,,Intermediate (3),1,2,117,5,,X,,147,147,,FRANCE,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,10,2,1,7,Intermediate(4),91-110 cm,5,,3,020,4,2,Strong(no lodging),Whitish,2-Cleft,Green,-5,Yes,,3,000,0,1,5,,,,Susceptible,X,010,2,,Intermediate (30-59 cm),,IVORY COAST,,O. sativa,3,,3,A,,0,Indica,,NS199,,X
1308,619,IRRI,IRIS 313-8277,K 2 C 14::IRGC 68549-1-1,IRGC 68549,68549.0,K 2 C 14,,IVORY COAST,Ivory Coast,IRGC 126067,K 2 C 14::IRGC 68549-1,51565620.0,51565620.0,10.7,Intermediate type,11/13/1984,IRAT 6756,1.0,X,,020,X,Light green,010,020,Susceptible,Green,Dark green,Pubescent,,X,Light green,,Intermediate (3),1,2,101,3,,X,,131,131,,FRANCE,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,3,3,7,Intermediate(3),91-110 cm,3,,2,020,4,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,-5,Yes,,3,000,0,1,1,,,,Susceptible,X,010,2,,Intermediate (30-59 cm),,IVORY COAST,,O. sativa,1,,3,A,,0,Indica,,K 2 C 14,,X
1309,1784,IRRI,IRIS 313-10729,MALOGBANA::IRGC 16086-1,IRGC 16086,16086.0,MALOGBANA,,IVORY COAST,Ivory Coast,IRGC 128379,MALOGBANA::IRGC 16086-1,,,,Intermediate type,6/26/1972,,,X,,020,X,Light green,080,080,,Purple lines,Light green,Pubescent,Resistant,5,Green,,Spreading (7),1,1,87,1,Upland,X,,117,117,Quest,IVORY COAST,1,1,X,2,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,X,5,X,8,3,9,0,,111-130 cm,1,,2,053,X,2,Very weak(all plants flat),Whitish,,Light gold,0,Yes,,1,020,1,X,9,,,,,X,070,X,Resistant,Intermediate (30-59 cm),Moderately susceptible,IVORY COAST,,O. sativa,5,,3,A,,0,Indica,,MALOGBANA,,X
1311,628,IRRI,IRIS 313-8739,TAI 6::IRGC 69058-1-1,IRGC 69058,69058.0,TAI 6,,IVORY COAST,Ivory Coast,IRGC 126090,TAI 6::IRGC 69058-1,54850716.0,54850716.0,11.4,Tropical japonica,11/13/1984,IRAT 6736,1.0,X,,020,X,Light green,010,070,Susceptible,Green,Green,Intermediate,,X,Light green,,Erect (1),1,2,108,3,,X,,138,138,,FRANCE,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,9,2,1,7,Erect(1),111-130 cm,5,,2,020,1,2,Strong(no lodging),Whitish,2-Cleft,Green,-5,Yes,,1,020,1,1,5,,,,Susceptible,X,010,1,,Intermediate (30-59 cm),,IVORY COAST,,O. sativa,1,,3,A,,0,Indica,,TAI 6,,X
1312,975,IRRI,IRIS 313-11526,FOSSA (GBE)::IRGC 56767-1,IRGC 56767,56767.0,FOSSA(GBE),,IVORY COAST,Ivory Coast,IRGC 128292,FOSSA (GBE)::IRGC 56767-1,59643340.0,55039398.0,11.4,Tropical japonica,11/27/1979,TOS10454,1.0,X,,020,X,Light green,010,020,,Green,Dark green,Pubescent,,7,Light green,IS107,Intermediate (3),1,2,104,5,Upland,X,,134,134,Centre Ouest,FRANCE,5,1,X,5,5,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,9,8,3,3,7,Horizontal(5),91-110 cm,1,,2,020,5,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Green,-6,Yes,,5,000,0,1,3,,,,,X,010,2,,Short (,,IVORY COAST,,O. sativa,3,Landrace/Traditional cultivar,3,A,Soding road,0,Indica,,FOSSA(GBE),Zuenoula,X
1313,629,IRRI,IRIS 313-8768,MOROFIN::IRGC 56698-1-1,IRGC 56698,56698.0,MOROFIN,,IVORY COAST,Ivory Coast,IRGC 127060,MOROFIN::IRGC 56698-1,85481550.0,85481550.0,17.7,Tropical japonica,11/15/1979,TOS13495,1.0,X,,040,X,Light green,010,020,,Green,Green,Pubescent,,7,Green,IS448,Intermediate (3),1,2,101,5,Upland,X,,131,131,Centre Ouest,FRANCE,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,9,9,3,3,6,Intermediate(3),91-110 cm,1,,2,020,3,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,-6,Yes,,7,000,0,1,1,,,,,X,010,2,,Short (,,IVORY COAST,,O. sativa,3,Landrace/Traditional cultivar,3,A,,0,Indica,,MOROFIN,Gagnoa,X
1315,1170,IRRI,IRIS 313-11758,FOFFI::IRGC 68438-1,IRGC 68438,68438.0,FOFFI,,IVORY COAST,Ivory Coast,,FOFFI::IRGC 68438-1,,,,Tropical japonica,11/13/1984,IRAT 5119,1.0,X,,020,020,Yellowish green,010,060,Susceptible,Green,Green,Pubescent,,X,Light green,,Intermediate (3),X,X,129,3,,060,,159,159,,FRANCE,X,X,X,X,X,X,X,X,X,X,,,Yes,1,3,X,8,2,7,7,Erect(1),,5,,X,020,4,X,Weak(most plants nearly flat),Whitish,Tip round or truncate,Green,-5,Yes,Green,9,000,X,1,2,,,,Susceptible,X,X,4,,,,IVORY COAST,,O. sativa,3,,X,A,,0,,,FOFFI,,X
1316,2209,IRRI,IRIS 313-11159,HYB 5-2-1-1-4::IRGC 34283-1,IRGC 34283,34283.0,HYB-5-2-1-1-4,,IVORY COAST,Ivory Coast,,HYB 5-2-1-1-4::IRGC 34283-2,,,,Tropical japonica,7/19/1984,,,X,,020,X,Light green,010,020,Susceptible,Green,Dark green,Glabrous,,X,Green,,Erect (2),1,2,104,3,,X,,134,134,,IVORY COAST,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,8,3,1,7,Erect(2),71-90 cm,3,,2,020,1,2,Strong(no lodging),Whitish,2-Cleft,Green,-5,Yes,,3,000,0,1,5,,,,Susceptible,X,010,2,,Intermediate (30-59 cm),,IVORY COAST,,O. sativa,3,Breeding and inbred line,2,A,,0,Indica,,HYB-5-2-1-1-4,,X
1318,1814,IRRI,IRIS 313-10712,KOTO OURA S 5::IRGC 15155-1,IRGC 15155,15155.0,KOTO OURA S 5,,IVORY COAST,Ivory Coast,IRGC 128354,KOTO OURA S 5::IRGC 15155-1,,,,Tropical japonica,5/19/1972,,,X,,020,X,Light green,010,010,,Green,Dark green,Pubescent,Moderately resistant,7,Green,,Intermediate (3),3,2,91,3,Upland,X,,121,121,,IVORY COAST,3,1,X,3,5,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,1,X,9,3,1,7,,91-110 cm,1,,1,020,X,2,Strong(no lodging),Whitish,,Green,-5,Yes,,1,000,0,X,1,,,,,X,010,X,Moderately resistant,Short (,Moderately susceptible,IVORY COAST,,O. sativa,3,,3,A,,0,Javanica,,KOTO OURA S 5,,X
1319,1785,IRRI,IRIS 313-10730,NANIBRE::IRGC 16102-1,IRGC 16102,16102.0,NANIBRE,,IVORY COAST,Ivory Coast,,NANIBRE::IRGC 16102-2,,,,Tropical japonica,6/26/1972,,,X,,020,X,Light green,010,010,,Green,Dark green,Pubescent,Resistant,9,Green,,Intermediate (3),1,2,87,3,Upland,X,,117,117,Centre-Quest,IVORY COAST,1,1,X,4,5,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,X,1,X,9,3,9,0,,111-130 cm,1,,1,020,X,3,Very weak(all plants flat),Whitish,,Green,0,Yes,,1,000,0,X,5,,,,,X,010,X,Resistant,Intermediate (30-59 cm),Moderately susceptible,IVORY COAST,,O. sativa,3,,4,A,,0,Indica,,NANIBRE,,X
1320,2417,IRRI,IRIS 313-11376,TOS 7536::IRGC 46985-1,IRGC 46985,46985.0,,,IVORY COAST,Ivory Coast,,TOS 7536::IRGC 46985-2,,,,Tropical japonica,4/19/1978,TOS7536,1.0,X,,020,X,Light green,010,020,Susceptible,Green,Green,Pubescent,Moderately resistant,7,Light green,IS3,Intermediate (3),3,2,98,3,Upland,X,,128,128,,FRANCE,X,X,X,X,X,X,X,X,X,X,Red,Non-glutinous(non-waxy),Yes,1,9,X,9,3,3,7,Intermediate(4),91-110 cm,1,,1,052,3,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,-7,Yes,,1,000,0,1,2,,,,Susceptible,X,070,2,Moderately resistant,Intermediate (30-59 cm),Moderately susceptible,IVORY COAST,,O. sativa,1,,3,A,Daloa,0,Javanica,,,Man-Daloa,X
1322,668,IRRI,IRIS 313-10075,SANGOKU::IRGC 74518-1-1,IRGC 74518,74518.0,SANGOKU,,JAPAN,Japan,IRGC 125895,SANGOKU::IRGC 74518-1,44542708.0,44542708.0,9.2,Indica,4/21/1986,NIAR 040248,2.0,X,,020,X,Light green,010,020,,Green,Dark green,Pubescent,,X,Light green,,Erect (1),1,1,82,3,Upland,X,,112,112,,JAPAN,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,9,8,3,1,34,Intermediate(3),71-90 cm,3,,2,020,4,2,Strong(no lodging),Whitish,2-Cleft,Light gold,134,Yes,Green,1,020,1,1,9,,,,,X,010,2,,Intermediate (30-59 cm),,JAPAN,,O. sativa,1,Landrace/Traditional cultivar,2,A,,0,Indica,,SANGOKU,,X
1322,668,IRRI,IRIS 313-10075,SANGOKU::IRGC 74518-1-1,IRGC 74518,74518.0,SANGOKU,,JAPAN,Japan,IRGC 125895,SANGOKU::IRGC 74518-1,44542708.0,44542708.0,9.2,Indica,4/21/1986,NIAR 040248,2.0,X,,020,X,Light green,010,020,,Green,Dark green,Pubescent,,X,Light green,,Erect (1),1,1,82,3,Upland,X,,112,112,,JAPAN,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,9,8,3,1,34,Intermediate(3),71-90 cm,3,,2,020,4,2,Strong(no lodging),Whitish,2-Cleft,Light gold,134,Yes,Green,1,020,1,1,9,,,,,X,010,2,,Intermediate (30-59 cm),,JAPAN,,O. sativa,1,Landrace/Traditional cultivar,2,A,,0,Indica,,SANGOKU,,X
1323,1136,IRRI,IRIS 313-11725,ZUIHOU::IRGC 66982-1,IRGC 66982,66982.0,ZUIHOU,,JAPAN,Japan,IRGC 128514,ZUIHOU::IRGC 66982-1,177124726.0,168622385.0,35.0,Indica,8/13/1985,V 090135,1.0,X,,020,020,Light green,010,020,Susceptible,Green,Dark green,Pubescent,,X,Light green,,Open (5),2,1,69,5,,X,,99,99,,JAPAN,X,X,X,X,X,X,X,X,X,X,White,Non-glutinous(non-waxy),Yes,1,5,X,7,3,3,34,Erect(2),51-70 cm,1,,2,020,4,2,Moderately strong(most plants leaning),Whitish,2-Cleft,Light gold,134,Yes,Green,1,020,1,1,9,,,,Susceptible,X,010,2,,Short (,,JAPAN,,O. sativa,1,Released/Improved/advanced cultivar,2,A,,0,Japonica,,ZUIHOU,,X
